emotion;id;sentiment;source
0.9;0;-0.9;que el supremo no deje comparecer ante el parlamento a los presos politicos es otra ofensa a la ciudadania de cataluna aqui lo explica la jessicaalbiach 
0.6;1;0.6;un articulo a leer de ainagallego sobre un tema importante el cambio tecnologico en el trabajo amenaza u oportunidad 
0.8;2;-0.8;el sentimiento de desproteccion ante las incertidumbres que genera el cambio de epoca y las politicas neoliberales provoca la aparicion de estas alternativas xenofobas y ultraconservadoras que prometen proteccion para unos y odio a los demas faqspeldarreretv jordivaquer gpisarello
0.1;3;-0.1;y ninguno de ellos tiene traza con los microfonos y las grabadoras ni nada que ver con las cloacas mira por donde pero a mi ya muchos mas me representan tambien los exiliados y los presos politicos 
0.6;4;0.6;el sergimiquel ha despedido hoy como secretario general de la jncatalunya con un gran discurso largamente ovacionado por sus companeros y companeras ahora necesitamos todo su talento como diputado al congreso por juntsxcat a girona
0.9;5;0.9;en un mundo conectado las ciudades son centros de comercio crecimiento innovacion tecnologia y finanzas
0.2;6;-0.2;muchas gracias antonibassas para tenernos siempre presentes y no callar para denunciar esta injusticia un abrazo 
0.8;7;0.8;escuchando el amigo y maestro anton costas la presentacion de quot el final del desconcierto quot en cdeconomia brillante como siempre contractesocial
0.4;8;0.4;recomano nuevo video testimonial del legado pasqual maragall llegatpm catalunyaeuropa en esta ocasion con el periodista filosofo y escritor josep ramoneda 
0.4;9;0.4;entrega anual de premios rosa de plata de barnacentre con el candidato josebouvila y nuestra consellera de ciutatvella ejimenezcara desde el ppcatalunya siempre apoyando al comercio de barrio ellos cada dia levantando la persiana hacen grande bcn stopcolau boubcn 
0.7;10;0.7;que discurso mas bueno pablo pbustinduy eres el mejor de toda la izquierda espanola que lujo seria discutir contigo suerte en europa 
0.0;11;0.0;yo tambien he firmado el manifiesto de la plataforma somos el haz oir tu voz y adhiere a ello somel 
0.2;12;-0.2;siempre en nuestro corazon y en nuestra memoria sea cual sea su voto quiero decirle que los homosexuales no somos orientaciones sexuales que vagamos por el espacio somos sus hijos sus hermanos sus companeros de grupo sus colegas de partido zerolo 
0.3;13;-0.3;primero se aliaron con los herederos del duran a cat dp con el xenofobo del albiol en badalona y ahora quieren un pacto con pp cs y pdcat para impedir a bcn un gobierno de izquierdas entre los comunes y erc la derechizacion del psc es imparable 
0.0;14;0.0;gonzalez pons el gobierno espanol junto con maduro va a ser derrotado el proximo jueves en el parlamento europeo populares 
0.4;15;0.4;este juicio no solo pretende juzgar quot ideas quot sino la capacidad de ejecutarlas a traves del ejercicio de un derecho perfectamente legal como el derecho a la autodeterminacion la accion politica quedara aun mas mermada la independencia no es imposible 
0.6;16;-0.6;hoy raulromeva y jorditurull han desmontado de nuevo las acusaciones si el tribunal hace atencion a la ley y no a la ideologia deben quedar libres les pedimos que sean valientes y vuelvan a la politica lo que es de la politica 
0.6;17;0.6;la prision dura un tiempo pero la dignidad y el orgullo son para siempre gracias a todos por estar ahi gracias raulromeva para llenarnos de esperancaillibertat
0.1;18;-0.1;valls insiste en que c sy vox no tienen nada que ver pues mejor que empiecen a borrar hemeroteca
0.1;19;0.1;ahora entiendo a que se referia albertrivera cuando decia que no iba a pactar con los socialistas se referia a que iba a meterlos dentro de la candidatura de manuelvalls boubcn 
0.2;20;-0.2;cada espanol tiene que leer esta carta porque hay urgencia es la hoja de ruta para los europeos que tienen que unirse frente a los nacionalistas y a los populistas ciudadanoscs psoe ppopular tienen que participar juntos a ese renacimiento europeo 
0.3;21;-0.3; quot barcelona fue la primera ciudad que recibio la certificacion biosphere el ano y en revalido la distincion quot por enmarcar de que tipo de certificaciones estamos hablando 
0.3;22;-0.3;esta manana en el plebcn denuncie la barcelona secuestrada por los cdr y la pasividad de la alcaldesa ada colau 
0.0;23;0.0;el libro presenta un balance de las politicas publicas en cataluna desde la recuperacion de la democracia y los mas de autores presentan tambien los retos de futuro de las diferentes areas os esperamos 
0.3;24;0.3;sumar sumar y sumar que cada uno trabaje desde su proyecto de ciudad y a partir de las elecciones entendernos entendernos y entendernos desde la unidad de accion soberanista para el avance hacia la republica con la maxima potencia fil 
0.5;25;0.5;atentos a la buena gente de elvendrell que ya tienen candidatos as y estan listos para dar la campanada 
0.8;26;0.8;esta es una muy buena noticia hay que ganar el reto del coche electrico para un sector que representa el del pib del pais es necesario que las administraciones se impliquen para que vaya aumentando la carga en plantas como la de martorell o nissan 
0.4;27;-0.4;cumplimos nuestro compromiso hemos cubierto el primer tramo de la ronda de dalt con una inversion de m EUR corregimos una deuda historica con estos barrios y con las demandas de los vecinos y vecinas 
0.7;28;0.7;acabamos el dia a antinouslibros reunido con amigas y amigos hablando sobre barcelona y la perspectiva lgtbi conversaciones de pequeno formato que construyen barcelona y que he recogido en el libro quot imaginembarcelona quot estimobcn 
0.9;29;0.9;manana intensa gracias a tods por venir y el apoyo laespanaquequieres espanaqquieres 
0.7;30;0.7;muchas gracias almeidapp por tus palabras y sobre todo por haber acompanado hoy a tantos madrilenos en barcelona boubcn 
0.6;31;-0.6; el cap del raval y la ampliacion del macba son equipamientos complementarios e imprescindibles para un barrio tan importante para bcn adacolau ha creado un conflicto innecesario retrasando estos dos proyectos y enfrentando la salud con la cultura stopcolau 
