id;language;source;text
0;ca;que el suprem no deixi compareixer davant el parlament als presos politics es una altra ofensa a la ciutadania de catalunya aqui ho explica la jessicaalbiach ;that the supreme does not stop to appear before the parliament to the political prisoners is another offense to the citizenship of catalonia here explains the jessicaalbiach
1;es;un articulo a leer de ainagallego sobre un tema importante el cambio tecnologico en el trabajo amenaza u oportunidad ;an article to read from ainagallego on an important topic the technological change at work threatens or opportunity
2;ca;el sentiment de desproteccio davant les incerteses que genera el canvi d epoca i les politiques neoliberals provoca l aparicio d aquestes alternatives xenofobes i ultraconservadores que prometen proteccio per uns i odi als altres faqspeldarreretv jordivaquer gpisarello;the feeling of deprivation of the uncertainties generated by the change of age and neo-liberal policies causes the emergence of these xenophobic and ultra-conservative alternatives that promise protection for some and hate the other parties.
3;ca;i cap d ells te traca amb els microfons i les grabadores ni res a veure amb les clavegueres ves per on pero a mi i a molts mes em representen tambe els exiliats i els presos politics ;and none of them will work with the microphones and the recorders or anything to do with the spindles you see by where but to me and many more, I am also represented as exiles and political prisoners
4;ca;el sergimiquel s ha acomiadat avui com a secretari general de la jncatalunya amb un gran discurs llargament ovacionat pels seus companys i companyes ara necessitem tot el seu talent com a diputat al congres per juntsxcat a girona ;the sergimiquel has been fired today as the general secretary of the jncatalunya with a long speech ovacionado by his colleagues and now we need all his talent as a deputy at the congresses by juntsxcat in girona
5;ca;en un mon connectat les ciutats son centres de comerc creixement innovacio tecnologia i finances ;in a world connected cities are business centers growing innovation technology and finances
6;ca;moltes gracies antonibassas per tenir nos sempre presents i no callar per denunciar aquesta injustica una abracada ;Many antonibassas thanks to having us always present and not to silence to denounce this injustice a hug
7;ca;escoltant l amic i mestre anton costas a la presentacio de el final del desconcierto al cdeconomia brillant com sempre contractesocial ;listening to the friend and teacher back to the presenting of the end of the bewilderment to the brilliant economy as always contractual
8;ca;recomano nou video testimonial del llegat pasqual maragall llegatpm catalunyaeuropa en aquesta ocasio amb el periodista filosof i escriptor josep ramoneda ;I recommend a new testimonial video of the Paschal legacy Maragall llegatpm catalunyaeuropa on this occasion with the philosopher and writer journalist José Ramón Ramoneda
9;es;entrega anual de premios rosa de plata de barnacentre con el candidato josebouvila y nuestra consellera de ciutatvella ejimenezcara desde el ppcatalunya siempre apoyando al comercio de barrio ellos cada dia levantando la persiana hacen grande bcn stopcolau boubcn ;annual delivery of prizes rose silver barnacentre with the candidate josebouvila and our consellera of ciutatvella ejimenezcara from the ppcatalunya always supporting the neighborhood trade them every day lifting the blind make big bcn stopcolau boubcn
10;ca;quin discurs mes bo pablo pbustinduy ets el millor de tota l esquerra espanyola quin luxe seria discutir amb tu sort a europa ;what better speech pablo pbustinduy you are the best of all the Spanish left which luxury would be to discuss with your fate in Europe
11;ca;jo tambe he signat el manifest de la plataforma som el fes sentir la teva veu i adhereix t hi somel ;I have also signed the manifesto of the platform, so let us hear your voice and adhere to it
12;es;siempre en nuestro corazon y en nuestra memoria sea cual sea su voto quiero decirle que los homosexuales no somos orientaciones sexuales que vagamos por el espacio somos sus hijos sus hermanos sus companeros de grupo sus colegas de partido zerolo ;always in our heart and in our memory whatever your vote I want to tell you that homosexuals are not sexual orientations that we roam the space are their children their brothers their peers group zerolo party colleagues
13;ca;primer es van aliar amb els hereus del duran a cat dp amb el xenofob de l albiol a badalona i ara volen un pacte amb pp cs i pdcat per impedir a bcn un govern d esquerres entre els comuns i erc la dretitzacio del psc es imparable ;they first allied themselves with the heirs of the last one at cat dp with the alfalfa xenophobic in Badalona and now they want a pact with pp cs and pdcat to prevent bcn a leftist government between the communes and erc the right of pSC is unstoppable
14;es;gonzalez pons el gobierno espanol junto con maduro va a ser derrotado el proximo jueves en el parlamento europeo populares ;gonzalez pons the Spanish government along with mature will be defeated next Thursday in the popular European parliament
15;ca;aquest judici no nomes preten jutjar idees sino la capacitat d executar les a traves de l exercici d un dret perfectament legal com el dret a l autodeterminacio l accio politica quedara encara mes minvada la independencia no es impossible ;this judgment not only seeks to judge ideas but also the ability to execute them through the exercise of a perfectly legal right such as the right to self-determination political action will be even less dependent on independence is not impossible
16;ca;avui raulromeva i jorditurull han desmuntat altre cop les acusacions si el tribunal fa atencio a la llei i no a la ideologia han de quedar lliures els demanem que siguin valents i tornin a la politica el que es de la politica ;today it was raulmonous and scoundrel, they have again disassembled the charges if the court attends to the law and not to the ideology they must remain free we ask that they are brave and return to the politics what is of the policy
17;ca;la preso dura un temps pero la dignitat i l orgull son per sempre gracies a tots per ser hi gracies raulromeva per omplir nos d esperancaillibertat ;the prisoner lasts for a long time but the dignity and pride are forever thanks to everyone to be thank you raulromeva to fill us d esperancaillibertat
18;ca;valls insisteix que c s i vox no tenen res a veure doncs millor que comencin a esborrar hemeroteca ;valleys insists that csi vox have nothing to do, so it is better that they begin to erase a newspaper archive
19;es;ahora entiendo a que se referia albertrivera cuando decia que no iba a pactar con los socialistas se referia a que iba a meterlos dentro de la candidatura de manuelvalls boubcn ;now I understand what albertrivera was referring to when he said that he was not going to agree with the Socialists he was referring to that he was going to put them in the candidacy of manuelvalls boubcn
20;es;cada espanol tiene que leer esta carta porque hay urgencia es la hoja de ruta para los europeos que tienen que unirse frente a los nacionalistas y a los populistas ciudadanoscs psoe ppopular tienen que participar juntos a ese renacimiento europeo ;Every Spanish has to read this letter because there is urgency is the roadmap for Europeans who have to unite against the nationalists and populist citizens psop ppopular have to participate together to this European renaissance
21;ca; barcelona va ser la primera ciutat que va rebre la certificacio biosphere l any i el va revalidar la distincio per enmarcar de quin tipus de certificacions estem parlant ;Barcelona was the first city that received the biosphere certification year one and revalidated the distinction to frame what type of certifications we are talking about
22;es;esta manana en el plebcn denuncie la barcelona secuestrada por los cdr y la pasividad de la alcaldesa ada colau ;this morning in the plebcn denounce the barcelona kidnapped by the cdr and the passivity of the mayor ada colau
23;ca;el llibre presenta un balanc de les politiques publiques a catalunya des de la recuperacio de la democracia i els mes de autors presenten tambe els reptes de futur de les diferents arees us esperem ;the book presents a balance of public policies in Catalonia since the recovery of democracy and the authors also present the challenges of the future of the different areas we look forward to
24;ca;sumar sumar i sumar que cadascu treballi des del seu projecte de ciutat i a partir de les eleccions entendre ns entendre ns i entendre ns des de la unitat d accio sobiranista per l avenc cap a la republica amb la maxima potencia fil ;add sum and add that each work from your city project and from the elections, understand how to understand and understand from the sovereignist unit of action for the move towards the republic with the maximum power
25;ca;atents a la bona gent de elvendrell que ja tenen candidats es i estan a punt per donar la campanada ;attentive to the good people of elvendrell who already have candidates are and are ready to give the bell
26;ca;aquesta es una molt bona noticia cal guanyar el repte del cotxe electric per un sector que representa el del pib del pais cal que les administracions s impliquin perque vagi augmentant la carrega a plantes com la de martorell o nissan ;this is a very good news, it is necessary to win the challenge of the electric car for a sector that represents the power of the country, it must be that the administrations are involved because it increases the load on plants such as the one of martorell or nissan
27;ca;complim el nostre compromis hem cobert el primer tram de la ronda de dalt amb una inversio de mEUR corregim un deute historic amb aquests barris i amb les demandes dels veins i veines ;we have fulfilled our commitment we have covered the first section of the round up with an investment of mEUR we correct a historical debt with these neighborhoods and with the demands of the veins
28;ca;acabem el dia a antinouslibros reunit amb amigues i amics parlant sobre barcelona i la perspectiva lgtbi converses de petit format que construeixen barcelona i que he recollit al llibre imaginembarcelona estimobcn ;end the day in antinouslibros gathered with friends and friends talking about barcelona and the perspective lgtbi small format conversations that build barcelona and that I have collected in the book imaginembarcelona estimobcn
29;es;manana intensa gracias a tods por venir y el apoyo laespanaquequieres espanaqquieres ;intense morning thanks to tods to come and support laespanaquequieres espanaquieres
30;es;muchas gracias almeidapp por tus palabras y sobre todo por haber acompanado hoy a tantos madrilenos en barcelona boubcn ;thank you very much almeidapp for your words and especially for having today accompanied so many madrilenos in barcelona boubcn
31;es; el cap del raval y la ampliacion del macba son equipamientos complementarios e imprescindibles para un barrio tan importante para bcn adacolau ha creado un conflicto innecesario retrasando estos dos proyectos y enfrentando la salud con la cultura stopcolau ;the cap of the raval and the expansion of the macba are complementary and essential equipment for such an important neighborhood for bcn adacolau has created unnecessary conflict delaying these two projects and confronting health with the stopcolau culture
32;es;la negociacion de gibraltar le pillo en cuba donde le ha pillado a borrell la expulsion por maduro de tres diputados espanoles invitados oficiales de la asamblea de venezuela no merecemos un ministro que prefiere defender a maduro que a quienes ayudan a su pueblo exhausto ;the negotiations of Gibraltar caught him in Cuba where Borrell has been caught by the expulsion by mature of three Spanish deputies invited officials of the Assembly of Venezuela do not deserve a minister who prefers to defend mature than those who help their people exhausted
33;es;hemos conseguido que sanchez tire la toalla ha llegado la hora de que el ppopular vuelva a gobernar espana nos necesita mas que nunca y nos vamos a dejar la piel para solucionar los desastres del sanchismo salimos a ganar eleccionesgenerales ;we have got Sanchez to throw in the towel the time has come for the ppopular to re-govern Spain needs us more than ever and we are going to leave the skin to solve the disasters of the sanchismo we go out to win general elections
34;ca;aquesta tarda amb magdaoranich acompanyare karmarchante en la presentacio del seu llibre putanosenace unim veus en la lluita pels drets de les dones i en contra de la prostitucio us espero a libreriaalibri a partir de les h ;This afternoon with magdaoranich I will accompany Karmarchante in the presentation of his book putanosenace unim voices in the fight for the rights of women and against prostitution I hope you libreriaalibri as of the h
35;ca;encara som a temps el futur son les decisions que prenem ara es una decisio complexa despres de la fi del mon avui inaugurem climacccb ;we are still in time the future are the decisions we make now is a complex decision after the end of the world today we inaugurate climacccb
36;ca;l alcaldessa del poble adacolau i rogertorrent sopant amb felip vi la guardia reial dels mossos protegint les restes d un regim que s enfonsa enfront el poder dels cdrs no s atura destronemlo cdrenxarxa;the mayoress of the adacolau and rogertorrent people dine with felip vi the royal guard of the mossos protecting the remains of a regime that sinks against the power of the cdrs, we do not stop destronemlo cdrenxarxa
37;es; que te puede pasar mas cuando estas a punto de acabar mandato municipal y a punto de iniciar campana s electoral es pues que una doctoranda te entregue su tesis acabada para que le des el ok y pueda convertirse en doctora goodnews phd upf working ;What can happen to you more when you are about to finish municipal mandate and about to start the electoral campaign is for a doctoral student to give you her finished thesis so that you give her the ok and can become a doctor goodnews phd upf working
38;ca;dema a les h al convent de st agusti segona jornada de taules obertes mobilitat i urbanisme medi ambient i participacio comptem amb les aportacions de tothom ni podem ni sabem fer altra cosa som l unica candidatura sorgida integrament d unes primaries obertes ;at 10:00 a.m. at the convent of St. Augustine, the second day of open tables mobility and urban planning environment and participation we count on contributions from all of us and we can not even know how to do something else, we are the only candidature arising entirely from open primary
39;es;jaumecollboni que nivel de argumentos eran los mismos antes del de octobre en bcn domingo yo manifestare en favor de la constitucion con partidos constitucionalistas y el mas votado en cataluna ciudadanoscs yo no pactare con los populistas o los separatistas y el ;jaumecollboni what level of arguments were the same before the octobre in bcn Sunday I will demonstrate in favor of the constitution with constitutionalist parties and the most voted in cataluna citizenscs I will not agree with the populists or the separatists and the
